,Unnamed: 0,STATION_LINE,DAILY_ENTRIES,LL_NAME,Station Latitude,Station Longitude,Bars Within .25 km,Bars Within .50 km,EBRatio_.25km,EBRatio_.50km,ENTRIES_RANK
11,11,96 ST,53209.22222222222,96th St,40.79085692307693,-73.96402423076921,0,1,inf,53209.22,12.0
34,34,DEKALB AV,27753.5,DeKalb Av,40.69816414285713,-73.945596,1,2,27753.5,13876.75,33.0
48,48,KEW GARDENS,21524.666666666668,Kew Gardens-Union Turnpike,40.714441,-73.831008,2,2,10762.33,10762.33,44.0
49,49,CROWN HTS-UTICA,21426.65873015873,Utica Av,40.67270318181819,-73.9321372727273,1,3,21426.66,7142.22,45.0
36,36,JAMAICA CENTER,27361.214285714286,Parsons Blvd-Archer Av - Jamaica Center,40.70214699999999,-73.801109,1,4,27361.21,6840.3,35.0
27,27,7 AV,33081.730158730155,7th Av,40.69540828571429,-73.97955157142857,0,5,inf,6616.35,27.0
30,30,145 ST,30786.16666666667,145th St,40.82384884615385,-73.94318123076923,1,9,30786.17,3420.69,30.0
40,40,77 ST,25390.309523809527,77th St,40.73438054545454,-73.97777472727273,3,8,8463.44,3173.79,38.0
7,7,125 ST,66145.0,125th St,40.809509684210525,-73.94828926315787,2,23,33072.5,2875.87,8.0
46,46,KINGS HWY,22315.674603174604,Kings Highway,40.605191555555564,-73.96926133333334,2,8,11157.84,2789.46,42.0
35,35,116 ST,27692.73809523809,116th St,40.801937333333335,-73.94870799999997,2,12,13846.37,2307.73,34.0
6,6,FULTON ST,76393.03968253969,Fulton St,40.70741094117648,-74.00412182352939,21,48,3637.76,1591.52,7.0
14,14,FLUSHING-MAIN,47600.11904761905,Flushing-Main St,40.75959999999999,-73.83003000000001,13,30,3661.55,1586.67,15.0
24,24,JAY ST-METROTEC,34292.40476190476,Jay St - Borough Hall,40.692338,-73.987342,7,22,4898.91,1558.75,24.0
17,17,JKSN HT-ROOSVLT,42731.968253968254,Jackson Heights-Roosevelt Ave,40.746644,-73.891338,16,35,2670.75,1220.91,18.0
1,1,GRD CNTRL-42 ST,123142.38888888886,Grand Central-42nd St,40.75173766666667,-73.97675833333334,21,102,5863.92,1207.28,2.0
0,0,34 ST-PENN STA,140962.94444444447,34th St,40.75088178048785,-73.9908759268293,20,118,7048.15,1194.6,1.0
33,33,BOROUGH HALL,28249.365079365078,Borough Hall,40.692766222222225,-73.99008299999998,5,24,5649.87,1177.06,32.0
2,2,34 ST-HERALD SQ,106517.16666666669,34th St,40.75088178048785,-73.9908759268293,20,118,5325.86,902.69,3.0
4,4,14 ST-UNION SQ,87101.92857142858,14th St-Union Square,40.734673,-73.989951,18,102,4839.0,853.94,5.0
47,47,FOREST HILLS 71,22292.0873015873,Forest Hills-71st Av,40.721691,-73.844521,15,27,1486.14,825.63,43.0
8,8,CANAL ST,62808.86507936508,Canal St,40.72030876470587,-74.003088,28,85,2243.17,738.93,9.0
19,19,72 ST,40017.45238095238,72nd St,40.777227714285715,-73.97958714285713,32,57,1250.55,702.06,19.0
15,15,CHAMBERS ST,47065.460317460325,Chambers St,40.714488875,-74.0081371875,34,68,1384.28,692.14,16.0
20,20,ATL AV-BARCLAY,38787.833333333336,Atlantic Av-Barclays Ctr,40.6840125,-73.978238,7,57,5541.12,680.49,20.0
9,9,59 ST COLUMBUS,61940.031746031746,59th St,40.73621624,-73.98655547999998,30,94,2064.67,658.94,10.0
10,10,59 ST,55459.1746031746,59th St,40.73621624,-73.98655547999998,30,94,1848.64,589.99,11.0
3,3,42 ST-PORT AUTH,88229.43650793651,42nd St,40.755765000000004,-73.98715200000001,40,151,2205.74,584.3,4.0
5,5,TIMES SQ-42 ST,84867.15873015873,Times Square,40.7553593,-73.98736839999998,35,147,2424.78,577.33,6.0
12,12,14 ST,53039.45238095238,14th St,40.738924307692315,-73.99912376923079,19,93,2791.55,570.32,13.0
32,32,8 AV,29345.111111111113,8th Av,40.70487266666667,-74.005625,10,62,2934.51,473.31,31.0
16,16,50 ST,43088.357142857145,50th St,40.73699839999999,-73.98710490000002,29,97,1485.81,444.21,17.0
26,26,WALL ST,33180.38888888888,Wall St,40.70724157142858,-74.01067828571426,18,76,1843.35,436.58,26.0
45,45,BOWLING GREEN,22449.603174603173,Bowling Green,40.704817,-74.014065,11,57,2040.87,393.85,41.0
38,38,GRAND ST,25660.53968253968,Grand St,40.71464357142857,-73.96341985714284,18,69,1425.59,371.89,36.0
21,21,86 ST 456,35766.6746031746,86th St,40.753149,-73.97426390909091,29,100,1233.33,357.67,21.0
13,13,47-50 STS ROCK,52044.880952380954,47-50th Sts Rockefeller Center,40.758663,-73.98132899999997,30,171,1734.83,304.36,14.0
25,25,LEXINGTON AV/53,33739.849206349216,Lexington Av-53rd St,40.757552000000004,-73.96905500000003,57,144,591.93,234.3,25.0
29,29,57 ST-7 AV,31100.44444444444,57th St,40.764317999999996,-73.97905399999998,39,135,797.45,230.37,29.0
23,23,42 ST-BRYANT PK,34501.69841269841,42nd St,40.755765000000004,-73.98715200000001,40,151,862.54,228.49,23.0
42,42,23 ST 6,24991.15873015873,23rd St,40.742837849999994,-73.99244474999998,30,118,833.04,211.79,39.0
28,28,28 ST,32784.936507936516,28th St,40.74510329411765,-73.98851776470586,29,156,1130.52,210.16,28.0
22,22,W 4 ST-WASH SQ,35728.84126984127,West 4th St,40.732338,-74.000495,49,171,729.16,208.94,22.0
43,43,DELANCEY/ESSEX,22477.674603174604,Delancey St,40.718611,-73.988114,51,129,440.74,174.25,40.0
39,39,33 ST,25618.44444444444,33rd St,40.746081,-73.982076,32,164,800.58,156.21,37.0
