,STATION_LINE,DAILY_ENTRIES,LL_NAME,Station Latitude,Station Longitude
0,34 ST-PENN STA,140962.94444444444,34th St,40.750881780487845,-73.9908759268293
1,GRD CNTRL-42 ST,123142.38888888889,Grand Central-42nd St,40.75173766666667,-73.97675833333335
2,34 ST-HERALD SQ,106517.16666666667,34th St,40.750881780487845,-73.9908759268293
3,42 ST-PORT AUTH,88229.43650793651,42nd St,40.755765,-73.987152
4,14 ST-UNION SQ,87101.92857142857,14th St-Union Square,40.734672999999994,-73.989951
5,TIMES SQ-42 ST,84867.15873015873,Times Square,40.7553593,-73.98736839999998
6,FULTON ST,76393.03968253969,Fulton St,40.70741094117648,-74.00412182352939
7,125 ST,66145.0,125th St,40.80950968421052,-73.94828926315787
8,CANAL ST,62808.86507936508,Canal St,40.72030876470587,-74.003088
9,59 ST COLUMBUS,61940.031746031746,59th St,40.73621624,-73.98655547999999
10,59 ST,55459.1746031746,59th St,40.73621624,-73.98655547999999
11,96 ST,53209.22222222222,96th St,40.79085692307693,-73.96402423076921
12,14 ST,53039.45238095238,14th St,40.73892430769232,-73.9991237692308
13,47-50 STS ROCK,52044.880952380954,47-50th Sts Rockefeller Center,40.758663,-73.98132899999999
14,FLUSHING-MAIN,47600.119047619046,Flushing-Main St,40.75959999999999,-73.83003
15,CHAMBERS ST,47065.46031746032,Chambers St,40.714488875,-74.0081371875
16,50 ST,43088.357142857145,50th St,40.73699839999999,-73.98710490000002
17,JKSN HT-ROOSVLT,42731.968253968254,Jackson Heights-Roosevelt Ave,40.746644,-73.891338
18,PATH NEW WTC,42634.43650793651,,,
19,72 ST,40017.45238095238,72nd St,40.77722771428572,-73.97958714285713
20,ATL AV-BARCLAY,38787.833333333336,Atlantic Av-Barclays Ctr,40.684012499999994,-73.978238
21,86 ST 456,35766.6746031746,86th St,40.753149,-73.9742639090909
22,W 4 ST-WASH SQ,35728.84126984127,West 4th St,40.732338,-74.000495
23,42 ST-BRYANT PK,34501.69841269841,42nd St,40.755765,-73.987152
24,JAY ST-METROTEC,34292.40476190476,Jay St - Borough Hall,40.692338,-73.987342
25,LEXINGTON AV/53,33739.84920634921,Lexington Av-53rd St,40.757552,-73.96905500000001
26,WALL ST,33180.38888888889,Wall St,40.707241571428575,-74.01067828571426
27,7 AV,33081.730158730155,7th Av,40.69540828571429,-73.97955157142857
28,28 ST,32784.93650793651,28th St,40.74510329411765,-73.98851776470586
29,57 ST-7 AV,31100.444444444445,57th St,40.764318,-73.97905399999998
30,145 ST,30786.166666666668,145th St,40.82384884615385,-73.94318123076923
31,CHURCH AV,30486.809523809523,Church Av,40.648080066666665,-73.96340380000001
32,8 AV,29345.11111111111,8th Av,40.70487266666667,-74.005625
33,BOROUGH HALL,28249.365079365078,Borough Hall,40.692766222222225,-73.99008299999998
34,DEKALB AV,27753.5,DeKalb Av,40.69816414285713,-73.945596
35,116 ST,27692.738095238095,116th St,40.801937333333335,-73.94870799999997
36,JAMAICA CENTER,27361.214285714286,Parsons Blvd-Archer Av - Jamaica Center,40.70214699999999,-73.801109
37,103 ST,25723.277777777777,103rd St,40.78116516666666,-73.92909208333334
38,GRAND ST,25660.539682539682,Grand St,40.71464357142857,-73.96341985714285
39,33 ST,25618.444444444445,33rd St,40.746081,-73.982076
40,77 ST,25390.309523809523,77th St,40.73438054545454,-73.97777472727273
41,72 ST-2 AVE,25369.309523809523,,,
42,23 ST 6,24991.15873015873,23rd St,40.74283784999999,-73.99244474999999
43,DELANCEY/ESSEX,22477.674603174604,Delancey St,40.718610999999996,-73.988114
44,86 ST-2 AVE,22450.15873015873,,,
45,BOWLING GREEN,22449.603174603173,Bowling Green,40.704817,-74.014065
46,KINGS HWY,22315.674603174604,Kings Highway,40.60519155555556,-73.96926133333334
47,FOREST HILLS 71,22292.0873015873,Forest Hills-71st Av,40.721691,-73.844521
48,KEW GARDENS,21524.666666666668,Kew Gardens-Union Turnpike,40.714441,-73.831008
49,CROWN HTS-UTICA,21426.65873015873,Utica Av,40.672703181818186,-73.93213727272729
